attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.2,2,Suburban,0,Horizontal,SAC Dynamic Phase 1,27521,8959,3457,5663,0.727719298245614,0.38729311995623,0.62094298245614,0.477044899334513,0.245586622807018,0.37905701754386
random,0.2,2,Suburban,0,Horizontal,SAC Dynamic Phase 1+2,7349,29131,876,8244,0.341951754385965,0.22057525083612,0.903947368421053,0.354618776212496,0.798547149122807,0.0960526315789474
random,0.2,2,Suburban,1,Random-Matrix,Static Phase 1,22763,13717,1263,7857,0.671491228070175,0.364188374895708,0.861513157894737,0.511956734215156,0.376014254385965,0.138486842105263
random,0.2,2,Suburban,1,Random-Matrix,Static Phase 1+2,6329,30151,306,8814,0.332083333333333,0.226203002694726,0.966447368421053,0.366600811063741,0.826507675438596,0.0335526315789474
random,0.2,2,Suburban,1,Random-Matrix,SAC Dynamic Phase 1,20269,16211,1050,8070,0.621469298245614,0.332358634323133,0.884868421052632,0.483219065297446,0.44438048245614,0.115131578947368
random,0.2,2,Suburban,1,Random-Matrix,SAC Dynamic Phase 1+2,6233,30247,279,8841,0.330570175438597,0.226181948424069,0.969407894736842,0.366785595751742,0.829139254385965,0.0305921052631579
random,0.2,2,Suburban,2,Circular,Static Phase 1,22684,13796,1408,7712,0.666578947368421,0.35856425516087,0.845614035087719,0.503591484915763,0.378179824561404,0.154385964912281
random,0.2,2,Suburban,2,Circular,Static Phase 1+2,5912,30568,689,8431,0.314539473684211,0.216185030385394,0.924451754385965,0.350422909869282,0.837938596491228,0.0755482456140351
random,0.2,2,Suburban,2,Circular,SAC Dynamic Phase 1,31277,5203,3808,5312,0.802390350877193,0.505183071802187,0.582456140350877,0.541074611662847,0.142626096491228,0.417543859649123
random,0.2,2,Suburban,2,Circular,SAC Dynamic Phase 1+2,13894,22586,1430,7690,0.473333333333333,0.253996564935923,0.843201754385965,0.390394963955732,0.619133771929825,0.156798245614035
