step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
315,0,0,16,17,44.243831396102905,2.0,46.243831396102905,0.0,-0.08874383139610292
316,0,0,16,18,46.243831396102905,2.0,48.243831396102905,0.0,-0.09074383139610291
317,0,0,16,19,48.243831396102905,2.0,50.0,0.0,-0.0925
318,0,0,16,20,50.0,2.0,50.0,0.0,-0.0925
319,0,0,17,1,50.0,2.0,50.0,0.0,-0.0925
320,0,0,17,2,50.0,2.0,50.0,0.0,-0.0925
321,0,0,17,3,50.0,2.0,50.0,0.0,-0.0925
322,0,0,17,4,50.0,2.0,50.0,0.0,-0.0925
323,0,0,17,5,50.0,2.0,50.0,0.0,-0.0925
324,0,0,17,6,50.0,2.0,50.0,0.0,-0.0925
325,0,0,17,7,50.0,2.0,50.0,0.0,-0.0925
326,0,0,17,8,50.0,2.0,50.0,0.0,-0.0925
327,0,0,17,9,50.0,2.0,50.0,0.0,-0.0925
328,0,0,17,10,50.0,1.599581241607666,50.0,0.0,-0.07808660148503123
329,0,0,17,11,50.0,-1.2320398092269897,48.76796019077301,0.0,-0.06644718110597378
330,0,0,17,12,48.76796019077301,-1.8270317316055298,46.94092845916748,0.0,-0.08282137794210248
331,0,0,17,13,46.94092845916748,-1.9420161247253418,44.99891233444214,0.0,-0.08521317862137448
332,0,0,17,14,44.99891233444214,-1.833289623260498,43.16562271118164,0.0,-0.07927513113872783
333,0,0,17,15,43.16562271118164,-1.0751113891601562,42.090511322021484,0.0,-0.0561491563130403
334,0,0,17,16,42.090511322021484,1.9997587203979492,44.090270042419434,0.0,-0.08658061944049587
335,0,0,17,17,44.090270042419434,2.0,46.090270042419434,0.0,-0.08859027004241944
336,0,0,17,18,46.090270042419434,2.0,48.090270042419434,0.0,-0.09059027004241944
337,0,0,17,19,48.090270042419434,2.0,50.0,0.0,-0.0925
338,0,0,17,20,50.0,2.0,50.0,0.0,-0.0925
339,0,0,18,1,50.0,2.0,50.0,0.0,-0.0925
340,0,0,18,2,50.0,2.0,50.0,0.0,-0.0925
341,0,0,18,3,50.0,2.0,50.0,0.0,-0.0925
342,0,0,18,4,50.0,2.0,50.0,0.0,-0.0925
343,0,0,18,5,50.0,2.0,50.0,0.0,-0.0925
344,0,0,18,6,50.0,2.0,50.0,0.0,-0.0925
345,0,0,18,7,50.0,2.0,50.0,0.0,-0.0925
346,0,0,18,8,50.0,2.0,50.0,0.0,-0.0925
347,0,0,18,9,50.0,2.0,50.0,0.0,-0.0925
348,0,0,18,10,50.0,1.8056926727294922,50.0,0.0,-0.08510526028348978
349,0,0,18,11,50.0,-1.1507394313812256,48.849260568618774,0.0,-0.06459127295797465
350,0,0,18,12,48.849260568618774,-1.8424638509750366,47.00679671764374,0.0,-0.08345352713914136
351,0,0,18,13,47.00679671764374,-1.959159016609192,45.047637701034546,0.0,-0.08593067822464551
