envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta,benign_exceedance_rate,mean_delta_d,max_delta_d,num_links
0,0,2,19,500.522447601763,500.522447601763,100.0,0.0278593317997988,0.644830211705363,4.90085460782202,16,0.999999999999998,10,0.0,2.0241118722639694e-14,5.6843418860808e-14,19
0,0,2,20,522.822266569947,522.822266569946,100.0,0.0326352921124243,0.686180253314537,4.37418226011411,16,0.999999999999998,10,0.0,2.8842425523946165e-14,9.9475983006414e-14,19
0,0,3,1,521.610916564206,521.610916564207,100.0,0.04972076985199,0.640773884939295,3.19049204728769,16,0.999999999999997,10,0.0,2.0989058444492427e-14,4.9737991503207e-14,19
0,0,3,2,508.260578226935,508.260578226935,100.0,0.0439134384495024,0.665122185268449,4.87746893318782,16,0.999999999999998,10,0.0,1.9820402629097527e-14,5.6843418860808e-14,19
0,0,3,3,505.497138332332,505.497138332332,100.0,0.0381361663927045,0.640773884939295,4.82670974958041,16,0.999999999999998,10,0.0,1.5332764297981106e-14,5.6843418860808e-14,19
0,0,3,4,505.879900576392,505.879900576393,100.0,0.0326675998205632,0.710077276392187,4.24232678423165,16,0.999999999999998,10,0.0,2.024111872263969e-14,7.105427357600999e-14,19
0,0,3,5,487.51420700248,487.51420700248,100.0,0.0276507410773902,0.855608835422518,3.64351635233065,16,0.999999999999997,10,0.0,2.169025193372937e-14,8.5265128291212e-14,19
0,0,3,6,437.963922428758,437.963922428758,100.0,0.0232647215258,0.98749354039946,3.3990471709626,16,0.999999999999999,10,0.0,1.0143932477627744e-14,3.19744231092045e-14,19
0,0,3,7,372.167411928911,372.167411928911,100.0,0.0196067861863358,1.00295674275827,3.63078607987053,16,0.999999999999999,10,0.0,1.3462914993349264e-14,4.2632564145606e-14,19
0,0,3,8,302.850104790101,302.850104790102,100.0,0.0166980671178368,0.887837594203764,4.2795658822572,16,0.999999999999999,10,0.0,1.4257600947817798e-14,5.6843418860808e-14,19
0,0,3,9,239.238657582593,239.238657582593,100.0,0.0144839944899561,0.731908923422762,5.07177947693003,16,0.999999999999999,10,0.0,1.0003693779780355e-14,3.5527136788004997e-14,19
0,0,3,10,187.279587209335,187.279587209335,100.0,0.0128793226713368,0.659121414083715,5.58960180936723,16,0.999999999999999,10,0.0,1.449133211089678e-14,4.9737991503207e-14,19
0,0,3,11,151.088475879534,151.088475879534,100.0,0.0118306365999569,0.688047222076158,5.42663276731882,16,0.999999999999999,10,0.0,9.910201314548763e-15,4.9737991503207e-14,19
0,0,3,12,134.361982200811,134.361982200811,100.0,0.0113563998287265,0.806343797813877,4.73211568523202,16,0.999999999999999,10,0.0,1.7202613602612945e-14,5.6843418860808e-14,19
0,0,3,13,140.630854051324,140.630854051324,100.0,0.0115385740143618,0.966140996065862,3.9574440132876,16,0.999999999999999,10,0.0,1.2200766712722771e-14,3.5527136788004997e-14,19
0,0,3,14,171.865095248984,171.865095248984,100.0,0.0124715180843837,1.0874751065141,3.46911261186178,16,0.999999999999999,10,0.0,1.4678317041359962e-14,4.2632564145606e-14,19
0,0,3,15,226.302959745562,226.302959745562,100.0,0.0142014825609734,1.08122227814591,3.45230384454182,16,0.999999999999999,10,0.0,1.6267688950297026e-14,5.6843418860808e-14,19
0,0,3,16,297.463430459181,297.46343045918,100.0,0.0166952768726955,0.953108708671421,3.86458701935772,16,0.999999999999999,10,0.0,1.173330438656481e-14,4.9737991503207e-14,19
0,0,3,17,375.299068615253,375.299068615253,100.0,0.0198573338573097,0.793984562372673,4.55242947545427,16,0.999999999999999,10,0.0,1.551974922844429e-14,4.9737991503207e-14,19
0,0,3,18,448.081890136519,448.08189013652,100.0,0.0235834844336294,0.681844102548423,4.99414316973814,16,0.999999999999999,10,0.0,1.4117362249970409e-14,5.6843418860808e-14,19
0,0,3,19,502.774212059713,502.774212059713,100.0,0.0278163102195147,0.661164776646109,4.72314572273112,16,0.999999999999998,10,0.0,2.0287864955255488e-14,7.105427357600999e-14,19
0,0,3,20,523.607995482888,523.607995482888,100.0,0.0325650903436402,0.74378383959762,4.03392248626,16,0.999999999999998,10,0.0,2.1222789607571408e-14,8.5265128291212e-14,19
0,0,4,1,521.595968062624,521.595968062624,100.0,0.0497204868140921,0.634214207585792,3.16741035818006,16,0.999999999999996,10,0.0,3.08057672938096e-14,8.5265128291212e-14,19
0,0,4,2,504.405847262165,504.405847262165,100.0,0.0439350259215782,0.643041628243945,4.95520800486941,16,0.999999999999998,10,0.0,1.5239271832749515e-14,4.2632564145606e-14,19
0,0,4,3,502.940414528248,502.940414528248,100.0,0.0381035031643472,0.667271395147613,4.59050403941749,16,0.999999999999997,10,0.0,2.5757174171303625e-14,8.5265128291212e-14,19
0,0,4,4,505.263266905702,505.263266905701,100.0,0.0326001886951296,0.772516092450979,3.89946337265995,16,0.999999999999997,10,0.0,2.3045892679587455e-14,8.5265128291212e-14,19
0,0,4,5,488.644130507407,488.644130507407,100.0,0.0275902597610635,0.918004797684401,3.41033314599446,16,0.999999999999998,10,0.0,1.9352940302939566e-14,6.3948846218409e-14,19
0,0,4,6,440.261806172198,440.261806172198,100.0,0.0232497742221267,1.00293658147296,3.39673452192341,16,0.999999999999999,10,0.0,1.4958794437054737e-14,5.6843418860808e-14,19
0,0,4,7,375.100255770729,375.100255770728,100.0,0.0196463216710218,0.944273408569402,3.85881226873394,16,0.999999999999998,10,0.0,1.6127450252449637e-14,5.6843418860808e-14,19
0,0,4,8,305.594847772317,305.594847772317,100.0,0.0167645849940871,0.798572238600161,4.62476416840979,16,0.999999999999999,10,0.0,1.4958794437054737e-14,7.105427357600999e-14,19
0,0,4,9,240.743801046482,240.743801046482,100.0,0.0145303851737491,0.693508619097407,5.33697985613985,16,0.999999999999999,10,0.0,1.2527990341033343e-14,3.5527136788004997e-14,19
0,0,4,10,186.774982021287,186.774982021287,100.0,0.012868993145597,0.673468084979952,5.54586673870075,16,0.999999999999999,10,0.0,1.5099033134902123e-14,4.9737991503207e-14,19
